T,current_km,best_km
124.859832636,-8689374.06245,-8689374.06245
124.735035181,-8692610.9488,-8693443.27761
124.610362462,-8695290.59071,-8695436.28957
124.485814353,-8695452.55378,-8695718.96846
124.361390729,-8695383.31171,-8695718.96846
124.237091467,-8695498.37312,-8695718.96846
124.112916443,-8694771.34423,-8695784.63704
123.988865531,-8695855.84802,-8695855.84802
123.864938608,-8695291.03472,-8696123.70346
123.741135551,-8697663.75381,-8697725.85813
123.617456234,-8699185.05019,-8699864.48551
123.493900535,-8700243.35184,-8700724.15774
123.37046833,-8699539.38579,-8700724.15774
123.247159496,-8700627.90789,-8701035.02916
123.123973909,-8699521.32496,-8701035.02916
123.000911445,-8699081.11922,-8701035.02916
122.877971983,-8698807.50237,-8701035.02916
122.755155399,-8702557.49356,-8702624.92795
122.63246157,-8703626.18882,-8704011.69498
122.509890374,-8702761.81624,-8704011.69498
122.387441687,-8703759.43855,-8704011.69498
122.265115388,-8701798.40036,-8704077.739
122.142911355,-8702055.13391,-8704077.739
122.020829464,-8703160.0808,-8704077.739
121.898869594,-8703013.1866,-8704077.739
121.777031623,-8702750.60924,-8704077.739
121.655315429,-8701364.9177,-8704077.739
121.533720891,-8700598.98594,-8704077.739
121.412247886,-8701237.34921,-8704077.739
121.290896294,-8701452.74194,-8704077.739
121.169665993,-8702843.40139,-8704077.739
121.048556861,-8702913.32934,-8704077.739
120.927568778,-8704373.26249,-8704373.26249
120.806701623,-8703996.69514,-8704373.26249
120.685955274,-8704969.89934,-8705281.14426
120.565329612,-8710499.96383,-8710535.79476
120.444824515,-8710846.30621,-8711022.24978
120.324439862,-8711995.34489,-8711995.34489
120.204175535,-8712998.6459,-8712998.6459
120.084031411,-8712190.16535,-8712998.6459
119.964007372,-8713867.40682,-8713908.46032
119.844103296,-8715618.63571,-8716111.46311
119.724319065,-8715821.27143,-8716893.81217
119.604654559,-8716272.82461,-8717436.66825
119.485109657,-8716437.63824,-8717436.66825
119.36568424,-8717420.05337,-8717601.51166
119.246378189,-8716168.26975,-8718131.73176
